uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
73437c5a9643a61ac52ba1b8,布力特塑业,公司企业,厂矿,湖北省,武汉市,汉南区,湖北武汉市汉南区育才路287号,73437c5a9643a61ac52ba1b8,1,0,114.0772,30.316746,,enterprise,http://api.map.baidu.com/place/detail?uid=73437c5a9643a61ac52ba1b8&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
dfad522f74496dee1e1d1103,红高粱酒厂,公司企业,厂矿,湖北省,武汉市,汉南区,湖北省武汉市汉南区汉南大道747号,dfad522f74496dee1e1d1103,1,0,114.093236,30.324086,13659848311,enterprise,http://api.map.baidu.com/place/detail?uid=dfad522f74496dee1e1d1103&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.09334209829,30.324088032633,0
0523a1410756b91eb23c81fc,武汉茂泰防火材料厂,公司企业,厂矿,湖北省,武汉市,汉南区,湖北省武汉市汉南区幸福村汉南大道武汉茂泰防火材料厂,0523a1410756b91eb23c81fc,1,0,114.070431,30.304545,(027)84853034,enterprise,http://api.map.baidu.com/place/detail?uid=0523a1410756b91eb23c81fc&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.07036725036,30.304551803419,0
a9f36908d9c09952c4f02567,武汉依凡铁艺厂,公司企业,厂矿,湖北省,武汉市,汉南区,武汉市汉南区育才路291号,a9f36908d9c09952c4f02567,1,0,114.076264,30.316942,,enterprise,http://api.map.baidu.com/place/detail?uid=a9f36908d9c09952c4f02567&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.07614002747,30.316974583012,0
41fec6f559c0bfcf2fb9080a,武汉市汉南育才印刷厂,公司企业,厂矿,湖北省,武汉市,汉南区,湖北省武汉市汉南区育才路336号,41fec6f559c0bfcf2fb9080a,1,0,114.079246,30.316507,,enterprise,http://api.map.baidu.com/place/detail?uid=41fec6f559c0bfcf2fb9080a&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.07940093127,30.316437146539,0
1a9916fa53c1ffbad9ecedad,武汉汉南兴利水泥制品厂,公司企业,厂矿,湖北省,武汉市,汉南区,武汉市汉南区何家畈路御景华府2·御园南侧,1a9916fa53c1ffbad9ecedad,1,0,114.090028,30.324831,,enterprise,http://api.map.baidu.com/place/detail?uid=1a9916fa53c1ffbad9ecedad&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
91259f535f526dcf9d9d68d0,小曾再生资源回收站,公司企业,厂矿,湖北省,武汉市,汉南区,湖北省武汉市汉南区汉南大道786号,,1,0,114.094108,30.322671,15927618779,enterprise,http://api.map.baidu.com/place/detail?uid=91259f535f526dcf9d9d68d0&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
d69e920faf728060a004640f,印象草原生态羊绒私人定制工厂店,购物,商铺,湖北省,武汉市,汉南区,武汉市汉南区新兰商业步行街城市便捷酒店(汉南步行街店)西侧,d69e920faf728060a004640f,1,0,114.085258,30.313559,,shopping,http://api.map.baidu.com/place/detail?uid=d69e920faf728060a004640f&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.08522447431,30.313332052179,0
65020ee5d69584db4251c0da,童优会品牌童装工厂店(汀兰路店),购物,商铺,湖北省,武汉市,汉南区,武汉市汉南区银莲路南苑宾馆(纱帽正街店)西侧约120米,,1,0,114.08822,30.313789,,shopping,http://api.map.baidu.com/place/detail?uid=65020ee5d69584db4251c0da&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
501a05c32058462e31870a99,高牌地板(汉南店),购物,家居建材,湖北省,武汉市,汉南区,湖北武汉市汉南区何家畈路141号何家畈,501a05c32058462e31870a99,1,0,114.091515,30.325823,13387579488,shopping,http://api.map.baidu.com/place/detail?uid=501a05c32058462e31870a99&output=html&source=placeapi_v2,0.0,07:30-21:00,,,,,,,,,,,,,,,,114.09151255808,30.325759528256,0
